election_date,list,district_id,constituency_city,votes_count,oath_date,seniority,party_full,city_of_birth,date_of_birth,education,finished_school,occupation,voting_participation,name,party_short,additional_info,party_function,academic_degree,sejm_function,mandate_expiry_date
13-10-2019,Koalicja Obywatelska,39,Poznań,51951,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Kościan,06-12-1984,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2008)Polski Instytut Spraw Międzynarodowych, Studium Polityki Zagranicznej (2012) - studia podyplomowe",politolog,98.12,Szłapka Adam,KO,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,4,Bydgoszcz,11821,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Kosobudy,01-08-1957,wyższe,"Akademia Nauk Społecznych w Warszawie, Wydział Ekonomiczny, Polityka i Ekonomika Przemysłu - magister (1987)Akademia Nauk Społecznych w Warszawie, Polityka Społeczno-Gospodarcza (1990) - studia podyplomoweWyższa Szkoła Pedagogiczna w Bydgoszczy, Administracja i Zarządzanie, Administracja i Zarządzanie (1997) - studia podyplomoweHogeschool Utrecht i Uniwersytet Warszawski, Studium w zakresie komunikacji i informacji społecznej (1997) - studia podyplomowe",ekonomista,99.67,Szopiński Jan,Lewica,,,,,
13-10-2019,Polskie Stronnictwo Ludowe,5,Toruń,14404,12-11-2019,poseł VIII kadencji,Koło Poselskie Polskie Sprawy,Brodnica,18-06-1989,wyższe,"Wyższa Szkoła Bankowa w Toruniu, Wydział Zarządzania, Logistyka w Biznesie - licencjat (2012)Wyższa Szkoła Bankowa w Toruniu Oddział w Bydgoszczy, Wydział Zarządzania, Zarządzanie Procesem Logistycznym - magister (2015)Wyższa Szkoła Bankowa w Toruniu Oddział w Bydgoszczy, Studia Menedżerskie (2015) - studia podyplomowe",specjalista do spraw logistyki,94.03,Szramka Paweł,PS,,,,,
13-10-2019,Prawo i Sprawiedliwość,6,Lublin,9764,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Janowiec,25-05-1963,wyższe,"Akademia Rolnicza w Lublinie, Wydział Weterynaryjny, Weterynaria - lekarz weterynarii (1988)Państwowy Instytut Weterynaryjny, Weterynaria - doktor (1997)Państwowy Instytut Weterynaryjny, Weterynaria - doktor habilitowany (2006)",lekarz weterynarii,99.95,Szulowski Krzysztof,PiS,,,profesor doktor habilitowany (2020),,
13-10-2019,Koalicja Obywatelska,29,Katowice,24372,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Knurów,28-06-1956,wyższe,"Uniwersytet Śląski, Matematyka, Fizyka i Chemia, Matematyka - magister (1983)Uniwersytet Śląski, Informatyka (1988) - studia podyplomoweUniwersytet Śląski, Samorząd Terytorialny (1999) - studia podyplomoweSzkoła Zarządzania Uniwersytetu Śląskiego, Zarządzanie Zasobami Ludzkimi (1999) - studia podyplomowe",poseł,96.64,Szumilas Krystyna,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,16,Płock,35798,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Warszawa,03-06-1972,wyższe,"Akademia Medyczna w Warszawie, Wydział Lekarski, Kardiologia - lekarz (1997)Instytut Kardiologii im. Prymasa St.Wyszyńskiego - doktor (2002)",lekarz - specjalista kardiolog,79.73,Szumowski Łukasz,PiS,Zrzeczenie,,profesor doktor habilitowany (2016),,02-02-2022
13-10-2019,Prawo i Sprawiedliwość,27,Bielsko-Biała,65315,12-11-2019,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Bielsko-Biała,12-04-1955,wyższe,"Krakowska Szkoła Wyższa im. A.F. Modrzewskiego, Wydział Prawa i Administracji, Administracja Publiczna - magister (2006)",parlamentarzysta,99.02,Szwed Stanisław,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,1,Legnica,8930,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Prochowice,24-04-1952,wyższe,"Akademia Ekonomiczna we Wrocławiu, Gospodarka Narodowa, Ekonomika Handlu Wewnętrznego - dyplomowany ekonomista (1977)Wyższa Szkoła Handlu i Finansów Międzynarodowych (Warszawa), Wycena Nieruchomości (2001) - studia podyplomowe",biegły rewident,99.88,Szymańska Ewa,PiS,,,,,
13-10-2019,Koalicja Obywatelska,5,Toruń,11845,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Grudziądz,24-04-1978,wyższe,"Uniwersytet Mikołaja Kopernika, Wydział Prawa i Administracji, Administracja - magister (2003)Uniwersytet Gdański, Zarządzanie Zasobami Ludzkimi (2008) - studia podyplomowe",poseł zawodowy,98.79,Szymański Tomasz,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,39,Poznań,24233,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Poznań,24-11-1982,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Prawo i Administracja, Stosunki Międzynarodowe - magister (2006)",sekretarz stanu,96.78,Szynkowski vel Sęk Szymon,PiS,,,,,
13-10-2019,Polskie Stronnictwo Ludowe,13,Kraków,20877,12-11-2019,poseł VIII kadencji,Koło Poselskie Polskie Sprawy,Kraków,22-12-1975,wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Socjologia - magister (2001)Uniwersytet Ekonomiczny w Krakowie, Ekonomia Społeczna (2011) - studia podyplomowe",socjolog,85.22,Ścigaj Agnieszka,PS,przewodnicząca koła,przewodnicząca,,,
